year	1M+ Barrels	100,001 to 1M Barrels	30,001 to 100,000 Barrels	1 to 30,000 Barrels
2008	0.010486327	0.028576888	-0.069789124	0.178765882
2009	0.003529783	-0.117171092	-0.01403636	0.20025076
2010	-0.024053804	0.141848019	-0.062782179	0.365865109
2011	-0.057455104	0.409923966	-0.014762696	0.509568158
2012	-0.023181821	0.073251461	0.234087133	0.688121182
2013	-0.051652989	0.070681769	0.385915668	0.952440062
2014	-0.059151844	0.113302408	0.41699726	1.315033904
2015	-0.085877188	0.351445172	0.468845353	1.7790309
2016	-0.096665738	0.271096736	0.820970675	2.041121436
2017	-0.126237064	0.295448212	0.829029165	2.399063158
2018	-0.142561852	0.26026514	0.789909261	2.713688822
